Time,Voltage,Current,Temperature,Gas,Label,dV_dt,dT_dt,Power
0,3.82,-49.21,28.91,133,0,0,0,-187.9822
1,3.82,-89.08,28.89,131,0,0,-0.02,-340.2856
2,3.79,-130.18,28.93,127,0,-0.03,0.04,-493.3822
3,3.78,-198.42,28.99,126,0,-0.01,0.06,-750.0276
4,3.8,-232.94,28.99,124,0,0.02,0,-885.172
5,3.79,-271.38,28.97,130,0,-0.01,-0.02,-1028.5302
6,3.79,-302.08,28.96,131,0,0,-0.01,-1144.8832
7,3.79,-335.41,28.91,132,0,0,-0.05,-1271.2039
8,3.79,-320.43,28.87,127,0,0,-0.04,-1214.4297
9,3.78,-326.54,28.88,122,0,-0.01,0.01,-1234.3212
10,3.79,-337.68,28.92,124,0,0.01,0.04,-1279.8072
11,3.78,-363.51,28.93,127,0,-0.01,0.01,-1374.0678
12,3.78,-378.98,28.98,124,0,0,0.05,-1432.5444
13,3.78,-365.97,29,122,0,0,0.02,-1383.3666
14,3.79,-359.19,29.13,119,0,0.01,0.13,-1361.3301
15,3.79,-371.07,29.14,113,0,0,0.01,-1406.3553
16,3.78,-381.13,29.11,116,0,-0.01,-0.03,-1440.6714
17,3.78,-402.67,29.14,117,0,0,0.03,-1522.0926
18,3.79,-391.05,29.13,119,0,0.01,-0.01,-1482.0795
19,3.79,-421.65,29.15,119,0,0,0.02,-1598.0535
20,3.77,-429.05,29.13,119,0,-0.02,-0.02,-1617.5185
21,3.77,-424.72,29.21,119,0,0,0.08,-1601.1944
22,3.77,-445.18,29.17,116,0,0,-0.04,-1678.3286
23,3.77,-422.74,29.16,117,0,0,-0.01,-1593.7298
24,3.77,-430.07,29.19,114,0,0,0.03,-1621.3639
25,3.78,-428.62,29.25,109,0,0.01,0.06,-1620.1836
26,3.78,-419.4,29.23,112,0,0,-0.02,-1585.332
27,3.78,-431.94,29.17,112,0,0,-0.06,-1632.7332
28,3.78,-433.77,29.19,112,0,0,0.02,-1639.6506
29,3.78,-443.44,29.23,108,0,0,0.04,-1676.2032
30,3.79,-396.94,29.22,108,0,0.01,-0.01,-1504.4026
31,3.8,-376.1,29.17,104,0,0.01,-0.05,-1429.18
32,3.8,-358.3,29.18,106,0,0,0.01,-1361.54
33,3.81,-387.85,29.25,108,0,0.01,0.07,-1477.7085
34,3.82,-396.57,29.22,104,0,0.01,-0.03,-1514.8974
35,3.82,-384.74,29.26,110,0,0,0.04,-1469.7068
36,3.82,-408.48,29.29,109,0,0,0.03,-1560.3936
37,3.82,-385.83,29.28,117,0,0,-0.01,-1473.8706
38,3.81,-385.37,29.29,117,0,-0.01,0.01,-1468.2597
39,3.81,-388.68,29.31,117,0,0,0.02,-1480.8708
40,3.81,-367.15,29.35,116,0,0,0.04,-1398.8415
41,3.82,-392.52,29.36,117,0,0.01,0.01,-1499.4264
42,3.82,-401.25,29.4,117,0,0,0.04,-1532.775
43,3.83,-381.19,29.35,114,0,0.01,-0.05,-1459.9577
44,3.84,-371.64,29.35,117,0,0.01,0,-1427.0976
45,3.84,-362.22,29.39,119,0,0,0.04,-1390.9248
46,3.84,-374.2,29.4,116,0,0,0.01,-1436.928
47,3.86,-414.4,29.42,111,0,0.02,0.02,-1599.584
48,3.85,-430.34,29.49,112,0,-0.01,0.07,-1656.809
49,3.85,-431.72,29.49,110,0,0,0,-1662.122
50,3.87,-415.8,29.49,111,0,0.02,0,-1609.146
51,3.86,-408.51,29.46,111,0,-0.01,-0.03,-1576.8486
52,3.86,-401.54,29.45,110,0,0,-0.01,-1549.9444
53,3.88,-403.94,29.4,113,0,0.02,-0.05,-1567.2872
54,3.88,-369.89,29.35,118,0,0,-0.05,-1435.1732
